"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"450";"k__Fungi";NA;NA;NA;NA;NA;NA
"451";"k__Fungi";NA;NA;NA;NA;NA;NA
"452";"k__Fungi";NA;NA;NA;NA;NA;NA
"453";"k__Fungi";NA;NA;NA;NA;NA;NA
"454";"k__Fungi";NA;NA;NA;NA;NA;NA
"455";"k__Fungi";NA;NA;NA;NA;NA;NA
"456";"k__Fungi";NA;NA;NA;NA;NA;NA
"457";"k__Fungi";NA;NA;NA;NA;NA;NA
"458";"k__Fungi";NA;NA;NA;NA;NA;NA
"459";"k__Fungi";"p__Ascomycota";"c__Dothideomycetes";NA;NA;NA;NA
"460";"k__Fungi";"p__Mortierellomycota";"c__Mortierellomycetes";"o__Mortierellales";"f__Mortierellaceae";"g__Mortierella";"s__elongata"
"461";"k__Fungi";NA;NA;NA;NA;NA;NA
"462";"k__Fungi";NA;NA;NA;NA;NA;NA
"463";"k__Fungi";NA;NA;NA;NA;NA;NA
"464";"k__Fungi";NA;NA;NA;NA;NA;NA
"465";"k__Fungi";NA;NA;NA;NA;NA;NA
"466";"k__Fungi";"p__Basidiomycota";"c__Tremellomycetes";"o__Filobasidiales";"f__Piskurozymaceae";"g__Solicoccozyma";NA
"467";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Xylariales";"f__Bartaliniaceae";"g__Truncatella";"s__angustata"
"468";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Agaricales";NA;NA;NA
"469";"k__Fungi";NA;NA;NA;NA;NA;NA
"470";"k__Fungi";NA;NA;NA;NA;NA;NA
"471";"k__Fungi";"p__Ascomycota";NA;NA;NA;NA;NA
"472";"k__Fungi";NA;NA;NA;NA;NA;NA
"473";"k__Fungi";NA;NA;NA;NA;NA;NA
"474";"k__Fungi";NA;NA;NA;NA;NA;NA
"475";"k__Fungi";NA;NA;NA;NA;NA;NA
"476";"k__Fungi";"p__Olpidiomycota";"c__Olpidiomycetes";"o__Olpidiales";"f__Olpidiaceae";NA;NA
"477";"k__Fungi";NA;NA;NA;NA;NA;NA
"478";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Xylariales";"f__Bartaliniaceae";"g__Truncatella";"s__angustata"
"479";"k__Fungi";NA;NA;NA;NA;NA;NA
"480";"k__Fungi";NA;NA;NA;NA;NA;NA
"481";"k__Fungi";NA;NA;NA;NA;NA;NA
"482";"k__Fungi";NA;NA;NA;NA;NA;NA
"483";"k__Fungi";NA;NA;NA;NA;NA;NA
"484";"k__Fungi";"p__Mortierellomycota";"c__Mortierellomycetes";"o__Mortierellales";"f__Mortierellaceae";"g__Mortierella";"s__elongata"
"485";"k__Fungi";NA;NA;NA;NA;NA;NA
"486";"k__Fungi";NA;NA;NA;NA;NA;NA
"487";"k__Fungi";NA;NA;NA;NA;NA;NA
"488";"k__Fungi";NA;NA;NA;NA;NA;NA
"489";"k__Fungi";"p__Basidiomycota";"c__Tremellomycetes";"o__Trichosporonales";"f__Trichosporonaceae";"g__Trichosporon";"s__coremiiforme"
"490";"k__Fungi";NA;NA;NA;NA;NA;NA
"491";"k__Fungi";"p__Glomeromycota";"c__Glomeromycetes";"o__Glomerales";"f__Glomeraceae";"g__Rhizoglomus";"s__vesiculiferum"
"492";"k__Fungi";NA;NA;NA;NA;NA;NA
"493";"k__Fungi";NA;NA;NA;NA;NA;NA
"494";"k__Fungi";NA;NA;NA;NA;NA;NA
"495";"k__Fungi";NA;NA;NA;NA;NA;NA
"496";"k__Fungi";NA;NA;NA;NA;NA;NA
"497";"k__Fungi";NA;NA;NA;NA;NA;NA
"498";"k__Fungi";NA;NA;NA;NA;NA;NA
"499";"k__Fungi";NA;NA;NA;NA;NA;NA
"500";"k__Fungi";NA;NA;NA;NA;NA;NA
"501";"k__Fungi";NA;NA;NA;NA;NA;NA
"502";"k__Fungi";NA;NA;NA;NA;NA;NA
"503";"k__Fungi";NA;NA;NA;NA;NA;NA
"504";"k__Fungi";NA;NA;NA;NA;NA;NA
"505";"k__Fungi";NA;NA;NA;NA;NA;NA
"506";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Sebacinales";NA;NA;NA
"507";"k__Fungi";NA;NA;NA;NA;NA;NA
"508";"k__Fungi";NA;NA;NA;NA;NA;NA
"509";"k__Fungi";NA;NA;NA;NA;NA;NA
"510";"k__Fungi";NA;NA;NA;NA;NA;NA
"511";"k__Fungi";"p__Ascomycota";"c__Sordariomycetes";"o__Xylariales";"f__Bartaliniaceae";"g__Truncatella";"s__angustata"
"512";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Agaricales";"f__Cyphellaceae";"g__Limnoperdon";NA
"513";"k__Fungi";NA;NA;NA;NA;NA;NA
"514";"k__Fungi";NA;NA;NA;NA;NA;NA
"515";"k__Fungi";NA;NA;NA;NA;NA;NA
"516";"k__Fungi";NA;NA;NA;NA;NA;NA
"517";"k__Fungi";NA;NA;NA;NA;NA;NA
"518";"k__Fungi";NA;NA;NA;NA;NA;NA
"519";"k__Fungi";NA;NA;NA;NA;NA;NA
"520";"k__Fungi";NA;NA;NA;NA;NA;NA
"521";"k__Fungi";NA;NA;NA;NA;NA;NA
"522";"k__Fungi";NA;NA;NA;NA;NA;NA
"523";"k__Fungi";NA;NA;NA;NA;NA;NA
"524";"k__Fungi";"p__Glomeromycota";"c__Glomeromycetes";"o__Glomerales";"f__Glomeraceae";NA;NA
"525";"k__Fungi";"p__Glomeromycota";"c__Glomeromycetes";"o__Glomerales";"f__Glomeraceae";"g__Rhizophagus";"s__irregularis"
"526";"k__Fungi";NA;NA;NA;NA;NA;NA
"527";"k__Fungi";NA;NA;NA;NA;NA;NA
"528";"k__Fungi";NA;NA;NA;NA;NA;NA
"529";"k__Fungi";"p__Basidiomycota";"c__Agaricomycetes";"o__Agaricales";"f__Hymenogastraceae";"g__Hebeloma";"s__limbatum"
"530";"k__Fungi";NA;NA;NA;NA;NA;NA
"531";"k__Fungi";NA;NA;NA;NA;NA;NA
"532";"k__Fungi";NA;NA;NA;NA;NA;NA
"533";"k__Fungi";NA;NA;NA;NA;NA;NA
"534";"k__Fungi";NA;NA;NA;NA;NA;NA
"535";"k__Fungi";NA;NA;NA;NA;NA;NA
"536";"k__Fungi";NA;NA;NA;NA;NA;NA
"537";"k__Fungi";NA;NA;NA;NA;NA;NA
"538";"k__Fungi";NA;NA;NA;NA;NA;NA
"539";"k__Fungi";NA;NA;NA;NA;NA;NA
"540";"k__Fungi";NA;NA;NA;NA;NA;NA
"541";"k__Fungi";NA;NA;NA;NA;NA;NA
"542";"k__Fungi";NA;NA;NA;NA;NA;NA
"543";"k__Fungi";NA;NA;NA;NA;NA;NA
"544";"k__Fungi";NA;NA;NA;NA;NA;NA
"545";"k__Fungi";NA;NA;NA;NA;NA;NA
"546";"k__Fungi";NA;NA;NA;NA;NA;NA
"547";"k__Fungi";"p__Basidiomycota";"c__Cystobasidiomycetes";"o__Erythrobasidiales";"f__Erythrobasidiaceae";"g__Bannoa";"s__ogasawarensis"
"548";"k__Fungi";"p__Basidiomycota";NA;NA;NA;NA;NA
"549";"k__Fungi";NA;NA;NA;NA;NA;NA
"550";"k__Fungi";NA;NA;NA;NA;NA;NA
"551";"k__Fungi";NA;NA;NA;NA;NA;NA
"552";"k__Fungi";NA;NA;NA;NA;NA;NA
"553";"k__Fungi";NA;NA;NA;NA;NA;NA
"554";"k__Fungi";NA;NA;NA;NA;NA;NA
"555";"k__Fungi";NA;NA;NA;NA;NA;NA
"556";"k__Fungi";"p__Ascomycota";"c__Dothideomycetes";"o__Pleosporales";"f__Didymellaceae";NA;NA
